STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
17,Illinois,171124,2,0,None Noted
17,Illinois,171143,2,0,None Noted
17,Illinois,171156,2,0,None Noted
17,Illinois,171156,3,0,None Noted
18,Indiana,180002,2,0,None Noted
18,Indiana,180030,1,0,None Noted
18,Indiana,180083,2,0,None Noted
18,Indiana,180111,2,0,None Noted
18,Indiana,180184,2,0,None Noted
18,Indiana,180184,3,0,None Noted
18,Indiana,180193,3,0,None Noted
18,Indiana,180193,4,0,None Noted
18,Indiana,180194,3,0,None Noted
18,Indiana,180394,2,0,None Noted
18,Indiana,180407,2,0,None Noted
18,Indiana,180438,2,0,None Noted
18,Indiana,180458,3,0,None Noted
18,Indiana,180460,2,0,None Noted
18,Indiana,180490,2,0,None Noted
18,Indiana,180498,2,0,None Noted
18,Indiana,180529,2,0,None Noted
18,Indiana,180534,2,0,None Noted
18,Indiana,180591,2,0,None Noted
18,Indiana,180644,2,0,None Noted
18,Indiana,180678,3,0,None Noted
18,Indiana,180718,2,0,None Noted
18,Indiana,180766,2,0,None Noted
18,Indiana,180818,2,0,None Noted
18,Indiana,180912,3,0,None Noted
18,Indiana,180912,4,0,None Noted
19,Iowa,190016,2,0,None Noted
19,Iowa,190016,3,0,None Noted
19,Iowa,190039,2,0,None Noted
19,Iowa,190044,2,0,None Noted
19,Iowa,190274,2,0,None Noted
19,Iowa,190282,2,0,None Noted
19,Iowa,190300,2,0,None Noted
20,Kansas,200003,2,0,None Noted
20,Kansas,200010,2,0,None Noted
20,Kansas,200051,2,0,None Noted
20,Kansas,200203,2,0,None Noted
20,Kansas,200203,3,0,None Noted
20,Kansas,200216,2,0,None Noted
20,Kansas,200272,2,0,None Noted
20,Kansas,200377,2,0,None Noted
20,Kansas,200377,3,0,None Noted
20,Kansas,200390,2,0,None Noted
20,Kansas,200397,2,0,None Noted
21,Kentucky,210016,2,0,None Noted
21,Kentucky,210044,2,0,None Noted
21,Kentucky,210044,10,0,None Noted
21,Kentucky,210048,3,0,None Noted
21,Kentucky,210063,2,0,None Noted
21,Kentucky,210087,3,0,None Noted
21,Kentucky,210128,2,0,None Noted
21,Kentucky,210193,2,0,None Noted
21,Kentucky,210193,3,0,None Noted
21,Kentucky,210297,2,0,None Noted
21,Kentucky,210312,2,0,None Noted
21,Kentucky,210312,3,0,None Noted
21,Kentucky,210322,2,0,None Noted
21,Kentucky,210328,3,0,None Noted
21,Kentucky,210488,2,0,None Noted
21,Kentucky,210498,2,0,None Noted
21,Kentucky,210498,3,0,None Noted
21,Kentucky,210579,5,0,None Noted
21,Kentucky,210579,6,0,None Noted
21,Kentucky,210586,2,0,None Noted
21,Kentucky,210689,2,0,None Noted
22,Louisiana,220032,2,0,None Noted
22,Louisiana,220052,2,0,None Noted
22,Louisiana,220090,2,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
22,Louisiana,220090,3,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
22,Louisiana,220131,2,0,None Noted
22,Louisiana,220131,3,0,None Noted
22,Louisiana,220132,4,0,None Noted
22,Louisiana,220132,5,0,None Noted
22,Louisiana,220132,6,0,None Noted
22,Louisiana,220132,7,0,None Noted
22,Louisiana,220218,3,0,None Noted
22,Louisiana,220218,4,0,None Noted
22,Louisiana,220218,5,0,None Noted
22,Louisiana,220295,3,0,None Noted
22,Louisiana,220306,2,0,None Noted
22,Louisiana,220306,3,0,None Noted
22,Louisiana,220345,2,0,None Noted
22,Louisiana,220345,3,42,"Other Working Vehicle (Not Construction, Maintenance, Utility, Police, Fire, or EMS Vehicle)"
22,Louisiana,220367,2,0,None Noted
22,Louisiana,220368,2,0,None Noted
22,Louisiana,220377,3,0,None Noted
22,Louisiana,220428,2,0,None Noted
22,Louisiana,220606,2,0,None Noted
22,Louisiana,220606,3,0,None Noted
22,Louisiana,220606,4,0,None Noted
22,Louisiana,220623,2,0,None Noted
22,Louisiana,220623,3,0,None Noted
22,Louisiana,220657,2,0,None Noted
22,Louisiana,220669,2,0,None Noted
22,Louisiana,220689,2,0,None Noted
22,Louisiana,220712,2,0,None Noted
22,Louisiana,220746,2,0,None Noted
22,Louisiana,220766,2,0,None Noted
22,Louisiana,220822,2,0,None Noted
22,Louisiana,220827,2,0,None Noted
22,Louisiana,220842,2,0,None Noted
23,Maine,230059,2,0,None Noted
23,Maine,230120,2,0,None Noted
24,Maryland,240005,2,0,None Noted
24,Maryland,240045,2,0,None Noted
24,Maryland,240100,2,0,None Noted
24,Maryland,240140,2,0,None Noted
24,Maryland,240140,3,0,None Noted
24,Maryland,240173,2,0,None Noted
24,Maryland,240184,2,0,None Noted
24,Maryland,240184,3,0,None Noted
24,Maryland,240185,2,0,None Noted
24,Maryland,240236,2,0,None Noted
24,Maryland,240236,3,0,None Noted
24,Maryland,240236,4,0,None Noted
24,Maryland,240236,5,0,None Noted
24,Maryland,240253,2,0,None Noted
24,Maryland,240261,3,0,None Noted
24,Maryland,240283,2,0,None Noted
24,Maryland,240283,3,0,None Noted
24,Maryland,240315,2,0,None Noted
24,Maryland,240344,2,0,None Noted
24,Maryland,240350,3,0,None Noted
24,Maryland,240363,2,0,None Noted
24,Maryland,240371,3,0,None Noted
24,Maryland,240371,4,0,None Noted
24,Maryland,240384,2,0,None Noted
24,Maryland,240396,2,0,None Noted
24,Maryland,240429,2,0,None Noted
24,Maryland,240435,2,0,None Noted
24,Maryland,240435,3,0,None Noted
24,Maryland,240472,2,0,None Noted
24,Maryland,240472,3,0,None Noted
24,Maryland,240472,4,0,None Noted
24,Maryland,240529,2,0,None Noted
24,Maryland,240529,3,0,None Noted
24,Maryland,240529,4,0,None Noted
24,Maryland,240533,2,0,None Noted
24,Maryland,240533,4,0,None Noted
24,Maryland,240533,5,0,None Noted
24,Maryland,240534,2,0,None Noted
24,Maryland,240535,2,0,None Noted
25,Massachusetts,250050,2,0,None Noted
25,Massachusetts,250069,1,0,None Noted
25,Massachusetts,250113,3,0,None Noted
25,Massachusetts,250180,2,0,None Noted
25,Massachusetts,250180,3,0,None Noted
