ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10138,1,1,0,0,0,0,0,0,0,0,0,0
10138,2,1,0,0,0,11,0,0,0,0,0,0
10139,1,1,0,0,0,0,0,0,0,0,0,0
10140,1,1,22,22,22,22,22,22,22,22,22,22
10140,2,1,0,16,17,0,23,0,13,0,0,0
10140,3,1,0,0,0,0,0,0,0,0,0,0
10140,4,1,0,0,0,0,0,0,0,0,0,0
10141,1,1,20,20,20,20,20,20,20,20,20,20
10142,1,1,0,0,0,0,0,0,0,0,0,0
10142,2,1,0,0,0,0,0,0,0,0,0,0
10143,1,1,0,0,0,0,0,0,0,0,0,0
10143,2,1,0,0,0,0,0,0,0,0,0,0
10143,3,1,0,0,0,0,0,0,0,0,0,0
10143,4,1,0,0,0,0,0,0,0,0,0,0
10143,5,1,0,0,0,0,0,0,0,0,0,0
10143,6,1,0,0,0,0,0,0,0,0,0,0
10144,1,1,0,0,0,0,0,0,0,0,0,0
10144,2,1,0,0,0,0,0,0,0,0,0,0
10145,1,1,0,0,0,0,0,0,0,0,0,0
10145,2,1,12,12,12,12,12,12,12,12,12,12
10146,0,1,0,0,0,0,0,0,0,0,0,0
10146,1,1,0,0,0,0,9,0,0,0,0,0
10147,1,1,0,0,0,0,0,0,0,0,0,0
10147,2,1,0,0,0,0,0,0,0,0,0,0
10148,1,1,0,0,0,0,0,0,0,0,0,0
10149,1,1,0,0,0,0,0,0,0,0,0,0
10149,2,1,0,0,0,0,0,0,0,0,0,0
10150,1,1,0,0,0,36,0,0,0,11,0,0
10151,0,1,0,0,0,0,0,0,0,0,0,0
10151,1,1,12,12,12,12,12,12,12,12,12,12
10152,1,1,24,24,24,24,24,24,24,24,24,24
10153,1,1,0,0,0,0,0,0,0,0,0,0
10153,2,1,0,0,0,0,0,0,0,0,0,0
10154,1,1,0,0,0,0,0,0,0,0,0,0
10154,2,1,0,0,0,0,0,0,0,0,0,0
10155,1,1,16,16,16,16,16,16,16,16,16,16
10156,0,1,0,0,0,0,0,0,0,0,0,0
10156,1,1,0,20,0,10,0,23,0,16,7,20
10157,1,1,0,0,0,0,0,0,0,0,0,0
10158,1,1,0,0,0,0,0,0,0,0,0,0
10159,1,1,0,0,0,0,0,0,0,0,0,0
10160,1,1,0,0,0,0,0,0,0,0,0,0
10161,1,1,6,9,12,14,11,24,5,20,20,12
